1.IMU_yaw(deg),2.IMU_diff (deg),3.Max Degree(deg),4.Mag dx(px)
-135.7593,0.003,93.0,6.0
-137.6121,1.8528,112.0,21.0
-139.7421,2.13,118.0,30.0
-142.0234,2.2813,78.0,10.0
-145.4138,3.3905,91.0,18.0
-149.3999,3.986,54.0,26.0
-154.7506,5.3507,70.0,21.0
-161.185,6.4345,30.0,51.0
-176.26,15.075,34.0,43.0
174.1936,350.4536,179.0,118.0
165.1474,9.0461,174.0,122.0
155.0287,10.1188,39.0,9.0
147.7703,7.2584,123.0,5.0
141.3374,6.4329,96.0,17.0
136.6804,4.657,121.0,24.0
133.2503,3.4301,152.0,40.0
-136.1719,269.4222,172.0,7.0
-136.0341,0.1379,84.0,12.0
-135.9136,0.1205,73.0,16.0
-135.8286,0.085,90.0,20.0
-136.2396,0.411,84.0,25.0
-136.1128,0.1268,64.0,8.0
-136.0856,0.0272,80.0,3.0
-136.0457,0.0399,76.0,3.0
-136.0341,0.0116,99.0,3.0
-135.9933,0.0408,84.0,3.0
-135.9778,0.0155,69.0,3.0
-135.9523,0.0255,72.0,3.0
-135.9136,0.0387,68.0,3.0
-135.9033,0.0103,86.0,6.0
-135.8669,0.0364,114.0,4.0
-135.8524,0.0145,77.0,6.0
-135.8186,0.0338,89.0,8.0
-135.7959,0.0228,85.0,11.0
-135.7547,0.0411,56.0,9.0
-135.74,0.0148,75.0,12.0
-135.7586,0.0187,93.0,9.0
-135.8194,0.0607,87.0,17.0
-135.964,0.1447,91.0,21.0
-136.1683,0.2043,91.0,12.0
-136.4025,0.2342,79.0,19.0
-136.7448,0.3422,75.0,5.0
-137.0085,0.2637,85.0,16.0
-137.451,0.4425,81.0,12.0
-137.7869,0.3359,82.0,11.0
-136.19,0.0338,46.0,1.0
-136.0742,0.1158,70.0,11.0
-135.9635,0.1107,83.0,13.0
-135.9136,0.0499,68.0,7.0
-135.8972,0.0164,107.0,7.0
-135.8611,0.0361,87.0,4.0
-135.8524,0.0087,77.0,7.0
-135.8186,0.0338,93.0,4.0
-135.8088,0.0098,87.0,8.0
-135.7547,0.0541,64.0,8.0
-135.7307,0.0241,65.0,15.0
-135.7593,0.0286,88.0,12.0
-135.7689,0.0096,92.0,10.0
-135.8634,0.0945,86.0,18.0
-136.0192,0.1558,95.0,12.0
-136.1683,0.1491,91.0,20.0
-136.5064,0.3381,79.0,3.0
-136.7448,0.2384,75.0,5.0
-137.1459,0.4011,85.0,19.0
-137.6121,0.4662,79.0,9.0
-138.1802,0.5681,87.0,9.0
-138.8004,0.6202,97.0,22.0
-139.4869,0.6865,107.0,14.0
-140.2762,0.7892,99.0,18.0
-141.1235,0.8474,98.0,12.0
-142.0234,0.8998,91.0,21.0
-142.667,0.6436,87.0,22.0
-143.6722,1.0052,91.0,13.0
-144.3551,0.6829,96.0,14.0
-145.4138,1.0587,101.0,23.0
-146.1788,0.7649,93.0,14.0
-147.4059,1.2272,85.0,21.0
-148.8938,1.4878,81.0,24.0
-149.9486,1.0549,89.0,21.0
-151.0793,1.1306,90.0,28.0
-152.2282,1.149,90.0,24.0
-154.1283,1.9001,92.0,24.0
-156.1057,1.9774,92.0,26.0
-157.5425,1.4368,78.0,28.0
-159.7042,2.1616,81.0,27.0
-161.185,1.4809,80.0,29.0
-163.6085,2.4235,63.0,10.0
-166.0446,2.4361,79.0,16.0
-168.5006,2.456,82.0,28.0
-170.1868,1.6862,87.0,29.0
-171.8991,1.7123,83.0,30.0
-173.6688,1.7697,70.0,26.0
-177.1506,3.4818,167.0,5.0
-179.0046,1.854,141.0,7.0
178.0959,357.1004,179.0,0.0
176.1622,1.9336,75.0,20.0
174.1936,1.9687,179.0,0.0
170.222,3.9715,106.0,10.0
167.1926,3.0294,143.0,7.0
165.1474,2.0452,113.0,12.0
162.0848,3.0626,179.0,0.0
160.053,2.0318,179.0,0.0
157.0421,3.0109,76.0,18.0
155.0287,2.0134,94.0,29.0
152.1634,2.8653,134.0,6.0
150.3289,1.8345,96.0,28.0
147.7703,2.5586,179.0,0.0
145.5201,2.2502,86.0,27.0
144.2111,1.309,92.0,26.0
143.0254,1.1857,90.0,26.0
141.3374,1.688,93.0,25.0
139.7422,1.5952,97.0,29.0
138.1816,1.5606,93.0,26.0
137.1709,1.0107,93.0,20.0
136.2084,0.9624,93.0,26.0
134.9425,1.2659,92.0,29.0
133.9162,1.0263,93.0,20.0
133.2503,0.666,88.0,19.0
132.9214,0.3289,83.0,10.0
132.7378,0.1837,93.0,6.0
132.6326,0.1052,93.0,3.0
132.5411,0.0914,99.0,3.0
132.4928,0.0483,119.0,2.0
132.4357,0.057,70.0,9.0
132.4309,0.0048,81.0,3.0
-136.2484,268.6793,78.0,29.0
-136.2039,0.0445,55.0,3.0
-136.1523,0.0516,56.0,3.0
-136.1229,0.0295,71.0,2.0
-136.1053,0.0176,94.0,3.0
-136.0742,0.031,65.0,3.0
-136.04,0.0343,96.0,4.0
-136.0,0.04,86.0,3.0
-136.19,0.0139,46.0,1.0
-136.0584,0.1316,73.0,12.0
-136.04,0.0184,101.0,1.0
-136.0341,0.0059,100.0,3.0
-136.0,0.0341,84.0,3.0
-135.9778,0.0222,69.0,3.0
-135.9523,0.0255,72.0,3.0
-135.9409,0.0114,71.0,2.0
-135.9136,0.0273,63.0,1.0
-135.9033,0.0103,78.0,5.0
-135.8972,0.0061,117.0,4.0
-135.8669,0.0303,105.0,1.0
-135.8611,0.0058,76.0,5.0
-135.8524,0.0087,76.0,1.0
-135.842,0.0104,82.0,4.0
-135.8186,0.0234,87.0,5.0
